threshold,sensitivity,specificity,fpr,tpr
1,0,1,0,0
0.8368934935519717,0.009433962264150943,0.9948453608247423,0.005154639175257714,0.009433962264150943
0.8250159289487627,0.05660377358490566,0.9948453608247423,0.005154639175257714,0.05660377358490566
0.812467245626163,0.08490566037735849,0.9690721649484536,0.030927835051546393,0.08490566037735849
0.7853213514824245,0.11320754716981132,0.9639175257731959,0.03608247422680411,0.11320754716981132
0.7707171552326689,0.1509433962264151,0.9587628865979382,0.04123711340206182,0.1509433962264151
0.755428865009084,0.20754716981132076,0.9432989690721649,0.05670103092783507,0.20754716981132076
0.7394657715279358,0.24528301886792453,0.9432989690721649,0.05670103092783507,0.24528301886792453
0.7228430331554715,0.3018867924528302,0.9329896907216495,0.0670103092783505,0.3018867924528302
0.7055819888302598,0.36792452830188677,0.9226804123711341,0.07731958762886593,0.36792452830188677
0.6877103765606837,0.36792452830188677,0.9123711340206185,0.08762886597938147,0.36792452830188677
0.6692624403414227,0.41509433962264153,0.9020618556701031,0.09793814432989689,0.41509433962264153
0.65027891051985,0.46226415094339623,0.8917525773195877,0.10824742268041232,0.46226415094339623
0.6308068458901451,0.5,0.8865979381443299,0.11340206185567014,0.5
0.6108993300475916,0.5188679245283019,0.8814432989690721,0.11855670103092786,0.5188679245283019
0.5906150196586978,0.5566037735849056,0.8762886597938144,0.12371134020618557,0.5566037735849056
0.5700175480669695,0.5754716981132075,0.8608247422680413,0.1391752577319587,0.5754716981132075
0.5491747937526595,0.6037735849056604,0.8556701030927835,0.14432989690721654,0.6037735849056604
0.5281580292309374,0.6226415094339622,0.8556701030927835,0.14432989690721654,0.6226415094339622
0.507040971608415,0.6320754716981132,0.8505154639175257,0.14948453608247425,0.6320754716981132
0.48589876082823263,0.6886792452830188,0.8298969072164949,0.1701030927835051,0.6886792452830188
0.4648068952659667,0.7075471698113207,0.8195876288659794,0.18041237113402064,0.7075471698113207
0.44384015651706277,0.71698113207547165,0.7989690721649485,0.2010309278350515,0.71698113207547165
0.40257133307204634,0.7641509433962265,0.7938144329896907,0.20618556701030932,0.7641509433962265
0.3824060380288475,0.7735849056603774,0.7835051546391752,0.21649484536082475,0.7735849056603774
0.3626377165725103,0.78301886792452835,0.7525773195876289,0.24742268041237114,0.78301886792452835
0.34332322311208197,0.7924528301886793,0.7422680412371134,0.25773195876288657,0.7924528301886793
0.32451367171033774,0.839622641509434,0.711340206185567,0.28865979381443296,0.839622641509434
0.3062540337333561,0.8490566037735849,0.6907216494845361,0.30927835051546393,0.8490566037735849
0.28858288341622707,0.8490566037735849,0.6752577319587629,0.32474226804123707,0.8490566037735849
0.2715322872049308,0.8679245283018868,0.6494845360824743,0.35051546391752575,0.8679245283018868
0.2551278278803258,0.8679245283018868,0.6237113402061856,0.37628865979381443,0.8679245283018868
0.2393887505410887,0.8962264150943396,0.6237113402061856,0.37628865979381443,0.8962264150943396
0.22432821462791053,0.8962264150943396,0.6030927835051546,0.3969072164948454,0.8962264150943396
0.20995363433578582,0.9150943396226415,0.5824742268041238,0.41752577319587625,0.9150943396226415
0.1962670889353596,0.9339622641509434,0.5721649484536082,0.4278350515463918,0.9339622641509434
0.1832657846007453,0.9339622641509434,0.5567010309278351,0.44329896907216493,0.9339622641509434
0.1709425501732693,0.9339622641509434,0.5360824742268041,0.4639175257731959,0.9339622641509434
0.15928635071031808,0.9339622641509434,0.5,0.5,0.9339622641509434
0.1482828045032042,0.9433962264150944,0.4896907216494845,0.5103092783505154,0.9433962264150944
0.13791469133356682,0.9433962264150944,0.4793814432989691,0.5206185567010309,0.9433962264150944
0.12816244192831774,0.9433962264150944,0.4639175257731959,0.5360824742268041,0.9433962264150944
0.11900460074667703,0.9433962264150944,0.41237113402061853,0.5876288659793815,0.9433962264150944
0.1104182562943646,0.9528301886792453,0.3917525773195876,0.6082474226804124,0.9528301886792453
0.1023794350411928,0.9622641509433962,0.36082474226804123,0.6391752577319587,0.9622641509433962
0.09486345667553592,0.9622641509433962,0.34536082474226804,0.654639175257732,0.9622641509433962
0.08784524984021373,0.9622641509433962,0.33505154639175255,0.6649484536082475,0.9622641509433962
0.0812996286544611,0.9716981132075472,0.30412371134020616,0.6958762886597938,0.9716981132075472
0.07520153124442557,0.9716981132075472,0.27835051546391754,0.7216494845360825,0.9716981132075472
0.06952622219806648,0.9811320754716981,0.25257731958762886,0.7474226804123711,0.9811320754716981
0.064249461353439,0.9811320754716981,0.2268041237113402,0.7731958762886598,0.9811320754716981
0.05934764164930327,1,0.20618556701030927,0.7938144329896908,1
0.05479789894184098,1,0.14948453608247422,0.8505154639175257,1
0.05057819674825217,1,0.12371134020618557,0.8762886597938144,1
0.04666738884246495,1,0.08762886597938144,0.9123711340206185,1
0.043045262522811045,1,0.041237113402061855,0.9587628865979382,1
0.039692565215992626,1,0.020618556701030927,0.979381443298969,1
0.033723310560573067,1,0,1,1
0,1,0,1,1
